handbook_path	aed_name	disposition	evidence	notes
data/gis/shp/sle_adm3.CPG	sle_adm3	in_package	inzip:sle_adm3	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/sle_adm3.zip
data/gis/shp/sle_adm3.dbf	sle_adm3	in_package	inzip:sle_adm3	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/sle_adm3.zip
data/gis/shp/sle_adm3.prj	sle_adm3	in_package	inzip:sle_adm3	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/sle_adm3.zip
data/gis/shp/sle_adm3.sbn	sle_adm3	in_package	inzip:sle_adm3	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/sle_adm3.zip
data/gis/shp/sle_adm3.sbx	sle_adm3	in_package	inzip:sle_adm3	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/sle_adm3.zip
data/gis/shp/sle_adm3.shp	sle_adm3	in_package	inzip:sle_adm3	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/sle_adm3.zip
data/gis/shp/sle_adm3.shp.xml	sle_adm3	in_package	inzip:sle_adm3	inside sle_adm3.zip but NOT byte-identical (zip copy 339197 bytes vs handbook 335185 bytes; metadata-only XML, embedded timestamp differs) - treated as save_data anyway since it is the same logical file
data/gis/shp/sle_adm3.shx	sle_adm3	in_package	inzip:sle_adm3	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/sle_adm3.zip
data/gis/shp/sle_hf.CPG	sle_adm3	in_package	inzip:sle_adm3	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/sle_adm3.zip
data/gis/shp/sle_hf.dbf	sle_adm3	in_package	inzip:sle_adm3	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/sle_adm3.zip
data/gis/shp/sle_hf.prj	sle_adm3	in_package	inzip:sle_adm3	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/sle_adm3.zip
data/gis/shp/sle_hf.sbn	sle_adm3	in_package	inzip:sle_adm3	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/sle_adm3.zip
data/gis/shp/sle_hf.sbx	sle_adm3	in_package	inzip:sle_adm3	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/sle_adm3.zip
data/gis/shp/sle_hf.shp	sle_adm3	in_package	inzip:sle_adm3	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/sle_adm3.zip
data/gis/shp/sle_hf.shx	sle_adm3	in_package	inzip:sle_adm3	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/sle_adm3.zip
data/godata/cases_clean.rds	cases_clean	in_package	blobsha	
data/godata/contacts_clean.rds	contacts_clean	in_package	blobsha	
data/godata/followups_clean.rds	followups_clean	in_package	blobsha	
data/godata/relationships_clean.rds	relationships_clean	in_package	blobsha	
data/likert_data.csv	likert_data	in_package	blobsha	
data/linelist_cleaned.rds		datatoremove	unreferenced	grepped all English chapters + index.qmd for basename and containing dir name; no hits
data/linelist_cleaned.xlsx		keep	referenced	"GENUINE GAP: referenced at chapters/data_table.qmd:53 (`rio::import(here(""data"", ""linelist_cleaned.xlsx""))`); sha 800b7786fe01bb3082619db61fa833d04181016e (911054 bytes) has no match anywhere in appliedepidata (distinct from case_linelists/linelist_cleaned.xlsx which IS covered via linelist_cleaned_excel)"
data/linelist_raw.xlsx		keep	referenced	"GENUINE GAP: referenced at chapters/r_projects.qmd:92 (`import(here(""data"", ""linelist_raw.xlsx""))`); sha 179f34fd943a39f449a58922f96c2967023d99f0 (970444 bytes) has no match anywhere in appliedepidata (distinct from case_linelists/linelist_raw.xlsx which IS covered via case_linelists_linelist_raw)"
data/make_evd_dataset-DESKTOP-JIEUMMI.R		keep	notdata	
data/make_evd_dataset.R		keep	notdata	
data/malaria_app/.here		keep	notdata	0-byte here-package anchor marker file, part of the Shiny app bundle under data/malaria_app/
data/malaria_app/app.R		keep	notdata	
data/malaria_app/data/facility_count_data.rds		keep	notdata	data file, but bundled as part of 'the Shiny app under data/malaria_app/' per instructions; content (sha 0451619b96...) differs from data/malaria_facility_count_data.rds (sha acc3325867..., maps to aed malaria_facility_count_data) - this is an OLDER copy of the malaria data with no aed counterpart
data/malaria_app/funcs/plot_epicurve.R		keep	notdata	
data/malaria_app/global.R		keep	notdata	
data/malaria_app/malaria_app.Rproj		keep	notdata	
data/malaria_app/server.R		keep	notdata	
data/malaria_app/ui.R		keep	notdata	
data/malaria_facility_count_data.rds	malaria_facility_count_data	in_package	blobsha	
data/phylo/Shigella_subtree_2.nwk	Shigella_subtree_2	in_package	blobsha	same content as data/phylo/Shigella_subtree_2.txt; both byte-identical to the single aed file inst/extdata/Shigella_subtree_2.txt
data/phylo/Shigella_subtree_2.txt	Shigella_subtree_2	in_package	blobsha	
data/phylo/Shigella_tree.txt	Shigella_tree	in_package	blobsha	
data/phylo/sample_data_Shigella_tree.csv	sample_data_Shigella_tree	in_package	blobsha	
data/rmarkdown/outbreak_report.Rmd		keep	notdata	
data/rmarkdown/outbreak_report.docx		keep	notdata	
data/rmarkdown/outbreak_report.html		keep	notdata	
data/rmarkdown/outbreak_report.pdf		keep	notdata	
data/rmarkdown/outbreak_report.pptx		keep	notdata	
data/rmarkdown/report_tabbed_example.Rmd		keep	notdata	
data/rmarkdown/report_tabbed_example.html		keep	notdata	
data/standardization/country_demographics.csv	country_demographics	in_package	blobsha	duplicate of data/country_demographics.csv, same content
data/standardization/country_demographics_2.csv	country_demographics_2	in_package	blobsha	
data/standardization/deaths_countryA.csv	deaths_countryA	in_package	blobsha	
data/standardization/deaths_countryB.csv	deaths_countryB	in_package	blobsha	
data/standardization/world_standard_population_by_sex.csv	world_standard_population_by_sex	in_package	blobsha	
data/surveys/population.xlsx	population	in_package	blobsha	
data/surveys/survey_data.xlsx	survey_data	in_package	blobsha	
data/surveys/survey_dict.xlsx	survey_dict	in_package	blobsha	
data/time_series/campylobacter_germany.xlsx	campylobacter_germany	in_package	blobsha	
data/time_series/weather/germany_weather2002.nc	germany_weather	in_package	inzip:germany_weather	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/germany_weather.zip
data/time_series/weather/germany_weather2003.nc	germany_weather	in_package	inzip:germany_weather	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/germany_weather.zip
data/time_series/weather/germany_weather2004.nc	germany_weather	in_package	inzip:germany_weather	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/germany_weather.zip
data/time_series/weather/germany_weather2005.nc	germany_weather	in_package	inzip:germany_weather	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/germany_weather.zip
data/time_series/weather/germany_weather2006.nc	germany_weather	in_package	inzip:germany_weather	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/germany_weather.zip
data/time_series/weather/germany_weather2007.nc	germany_weather	in_package	inzip:germany_weather	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/germany_weather.zip
data/time_series/weather/germany_weather2008.nc	germany_weather	in_package	inzip:germany_weather	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/germany_weather.zip
data/time_series/weather/germany_weather2009.nc	germany_weather	in_package	inzip:germany_weather	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/germany_weather.zip
data/time_series/weather/germany_weather2010.nc	germany_weather	in_package	inzip:germany_weather	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/germany_weather.zip
data/time_series/weather/germany_weather2011.nc	germany_weather	in_package	inzip:germany_weather	confirmed byte-identical to extracted copy in appliedepidata/inst/extdata/germany_weather.zip
