id	kind	reason
grouping.jp#2	added	The named GitHub download instruction is no longer in the file; the paragraph now reads appliedepidata::get_data(...) with a link to data_used.jp.qmd, so no edit is needed.
heatmaps.jp#2	added	The named download URL is no longer in the file; the sentence now reads appliedepidata::get_data(...) with a link to data_used.jp.qmd, so no edit is needed.
heatmaps.jp#3	added	The named rio file-format claim and the #importing cross-reference are no longer in the file; the sentence was already rewritten to match the English, so no edit is needed.
interactive_plots.jp#5	code_mismatch	Confirmed: the Japanese chunk calls right_join(tidyr::expand(., week)) where English has expand(., week, location_name), but the fix is inside a code chunk.
moving_average.jp#6	code_mismatch	Confirmed: the comment beside theme_minimal() reads 移動平均の表示 where English reads 'simple background', but the comment sits inside a code chunk.
tables_presentation.jp#5	code_mismatch	Confirmed: the two vline() comments read 2行目 / 5行目 where j = selects a column, but both comments sit inside a code chunk.
grouping.jp#4	untrue	The divergence is real but the English line 488 says 'median' while its own next bullet and its chunk both use mean(days_onset_hosp), so the Japanese is correct and the repair belongs in chapters/grouping.qmd, which this batch may not edit.
joining_matching.jp#2	untrue	The divergence is real but the English bullet 'added on the left side' contradicts its own later paragraph ('hosp_info arrives from the right (in the left join)') and the left_join output, so the Japanese 右側 is correct and the repair belongs in chapters/joining_matching.qmd, which this batch may not edit.
deduplication.pt#1	code_mismatch	Confirmed: the data chunk holds "Yes"/"No" but the rolling-up chunk tests str_detect(.x, "Sim"), so a rolled "No; Yes" becomes "No"; the only correct fix is restoring "Yes" inside the code chunk, which is out of permission.
deduplication.pt#2	code_mismatch	Confirmed: the translator rewrote the obs date strings as "01/05/2020"/"01/02/2020", which format = "%d/%m/%Y" parses as 1 May and 1 February, so Mariah's latest date is a single 2020-05-01 row and the tie the DANGER note teaches does not exist; the fix is restoring the English date strings inside the data chunk.
deduplication.pt#3	code_mismatch	Confirmed and same root cause as #2: the corrupted date strings make slice_max() keep Amrish's and Brian's 2020-05-01 rows instead of 5 January and 7 January, and the fix belongs inside the obs data chunk.
age_pyramid.pt#2	code_mismatch	The prose is a faithful translation; the defect is the display chunk rendering head(linelist, 10) instead of likert_data, and that fix is inside a code chunk.
age_pyramid.pt#5	code_mismatch	The mismatch is between the chunk's comment and its DT::datatable(head(linelist, 5), ...) call, both inside the code chunk, so the fix is a chunk edit.
basics.pt#4	code_mismatch	The comment and the deleted summary(linelist$age)[[2]] line are both inside the code chunk, so restoring the example is a chunk edit.
characters_strings.pt#1	code_mismatch	Portuguese occupation 3 is "educador de escola primária" with one match; the fix is to restore the second match in the occupations vector inside the code chunk, because deleting the sentence would drop a point the English makes.
characters_strings.pt#2	code_mismatch	Same cause as characters_strings.pt#1: the contrast needs a second match in occupation 3, which lives in the occupations vector inside the code chunk.
deduplication.pt#4	code_mismatch	The prose matches the English; the defect is the date vector in the obs data chunk, where the first eleven dates were rewritten as "01/05/2020" style and parse to May under format = "%d/%m/%Y".
heatmaps.pt#3	code_mismatch	Correct, but the fix is inside the display chunk: DT::datatable(case_ages, ...) must become DT::datatable(head(infectors, 50), ...).
heatmaps.pt#4	code_mismatch	Correct, but the fix is inside the display chunk: DT::datatable(case_ages, ...) must become DT::datatable(head(infector_ages, 50), ...).
heatmaps.pt#5	code_mismatch	Correct, but the fix is inside the display chunk: DT::datatable(case_ages, ...) must become DT::datatable(head(ages_complete, 50), ...).
heatmaps.pt#6	code_mismatch	Correct, but the fix is inside the display chunk: DT::datatable(case_ages, ...) must become DT::datatable(head(long_counts, 50), ...).
heatmaps.pt#7	code_mismatch	Correct, but the fix is inside the display chunk: DT::datatable(case_ages, ...) must become DT::datatable(head(long_prop, 50), ...).
heatmaps.pt#8	code_mismatch	Correct, but the fix is inside the display chunk: DT::datatable(head(linelist, 30), ...) must become DT::datatable(head(facility_count_data, 30), ...).
heatmaps.pt#9	code_mismatch	Correct, but the fix is inside the code chunk: tidyr::expand(week) must become tidyr::expand(location_name, week), and the prose column names should then read `week` and `location_name`.
heatmaps.pt#12	code_mismatch	Correct, but the fix is inside the display chunk: DT::datatable(case_ages, ...) must become DT::datatable(facility_order, ...).
heatmaps.pt#13	code_mismatch	Correct, but the fix is in the chunk header: echo=F must be removed from ```{r, warning=F, message=F, echo=F} so the fct_relevel() code is displayed.
shiny_basics.pt#6	code_mismatch	Confirmed, but the only fix is renaming installation_list back to facility_list inside the code chunks at lines 976 and 991, which is a change inside a code chunk.
shiny_basics.pt#7	code_mismatch	Confirmed, but the fix is removing echo = FALSE from the chunk header of the global.R chunk, which is a change to chunk options inside a code chunk.
shiny_basics.pt#8	code_mismatch	Confirmed, but the fix is removing echo=F from the chunk header of the plot_epicurve test chunk, which is a change to chunk options inside a code chunk.
cleaning.pt#1	missing	The second `case_when()` worked example is genuinely absent, but restoring it requires adding a new R code chunk, which the prose-only permission does not allow.
combination_analysis.pt#2	missing	The `+()`/`across()` alternative is genuinely absent, but restoring it requires adding a new R code chunk adapted to the translated column names, which the prose-only permission does not allow.
epicurves.pt#5	missing	The point is genuinely missing, but the Portuguese geom_histogram() chunk has no closed = "left" argument (the string never appears in the file), so adding the bullet needs a code-chunk edit first.
basics.pt#5	untrue	The finding is correct, but the wrong comment sits inside an ```{r} code chunk, which permission 2 forbids editing; a chunk-level fix is needed, and the chunk has also lost the `summary(linelist$age)[[2]]` line.
editorial_style.ru#1	missing	Correct that the Russian legend names CAUTION and DANGER identically, but the fix needs the 14 red ВНИМАНИЕ note labels renamed across all Russian chapters, which are outside this batch's file list; changing the legend alone would make it describe a label that appears nowhere.
standardization.ru#4	untrue	The wrong comment is inside the ```{r, eval=F} code chunk, which permission 2 forbids editing, so it needs a chunk-comment fix outside this pass.
combination_analysis.tr#3	code_mismatch	The wrong description is a comment inside the ```{r} chunk, and permission 2 forbids editing inside a code chunk; the comment needs to read that the values become 1s and 0s.
dates.tr#3	code_mismatch	The Turkish prose faithfully renders the English inputs and the corrupted values "03 Janry 18" and "8-20-1985" sit inside the code chunk, so the fix belongs in the chunk and permission 2 forbids it.
deduplication.tr#8	code_mismatch	The claim about unique non-NA values is a comment inside the ```{r} chunk at lines 498 and 516, which permission 2 forbids editing.
ggplot_basics.tr#10	code_mismatch	The prose is correct and the defect is the fence itself, which must change from an executable ```{r ...} chunk to a plain fenced block, outside the prose-only permission.
transmission_chains.tr#6	code_mismatch	The stray "" sits inside the transmission_chains_save code chunk, and removing it needs an edit inside a code chunk.
contact_tracing.vn#3	added	Confirmed: the Vietnamese runs the knitr::include_graphics() chunk that the English keeps inside an HTML comment, but the fix is to comment out or delete a code chunk, which these permissions forbid.
dates.vn#3	added	The quoted Vietnamese span no longer exists: an earlier fix rewrote the line to the English `parse_date()` / **parsedate** text and the added `pacman::p_load_gh` installation sentence is already gone, so no edit is needed.
cleaning.vn#1	code_mismatch	The prose is correct; the fix is to add `matchmaker,` to the `pacman::p_load()` call, which is inside a code chunk.
dates.vn#6	untrue	The Vietnamese %H/%M/%S are the correct strptime codes and the English %h/%m/%s is the defect, so the repair belongs in chapters/dates.qmd, which this batch may not edit.
survey_analysis.jp#review	code_mismatch	Review: the chunk comment above find_end_date() still says latest (最も新しい) where the English chunk comment says earliest; inside a code chunk.
importing.pt#review	code_mismatch	Review: the chunk below the restored sentence imports here("dados", "linelists", "ebola_linelist.xlsx"), a translated folder and a different file from the save_data() call above; inside a code chunk.
standardization.pt#review	code_mismatch	Review: five chunk comments still say "diretamente do Github" while the calls are appliedepidata::get_data(); inside code chunks.
epicurves.vn#review	code_mismatch	Review: the geom_histogram() chunks lack closed = "left", which the English chunks carry 15 times and the restored bullet describes; inside code chunks.
epicurves.vn#review2	missing	Review: the English demonstration chunk between the label_date_short() paragraph and "A second option is to use faceting" is absent; adding a code chunk is outside the pass.
