batch	lang	kind	n	files	ids
es.alignment_mismatch.01	es	alignment_mismatch	3	chapters/ggplot_tips.es.qmd,chapters/grouping.es.qmd,chapters/iteration.es.qmd	ggplot_tips.es#3,grouping.es#1,iteration.es#1
fr.untrue.01	fr	untrue	18	chapters/basics.fr.qmd,chapters/characters_strings.fr.qmd,chapters/cleaning.fr.qmd,chapters/collaboration.fr.qmd,chapters/combination_analysis.fr.qmd,chapters/contact_tracing.fr.qmd,chapters/data_table.fr.qmd,chapters/data_used.fr.qmd,chapters/dates.fr.qmd	basics.fr#3,basics.fr#4,characters_strings.fr#6,characters_strings.fr#7,cleaning.fr#1,cleaning.fr#2,cleaning.fr#3,cleaning.fr#5,collaboration.fr#1,collaboration.fr#5,combination_analysis.fr#1,contact_tracing.fr#1,contact_tracing.fr#5,contact_tracing.fr#6,data_table.fr#4,data_used.fr#3,dates.fr#1,dates.fr#2
fr.untrue.02	fr	untrue	18	chapters/deduplication.fr.qmd,chapters/diagrams.fr.qmd,chapters/directories.fr.qmd,chapters/editorial_style.fr.qmd,chapters/errors.fr.qmd,chapters/flexdashboard.fr.qmd,chapters/ggplot_basics.fr.qmd	deduplication.fr#1,deduplication.fr#2,diagrams.fr#1,diagrams.fr#2,directories.fr#1,directories.fr#3,editorial_style.fr#2,errors.fr#1,flexdashboard.fr#3,flexdashboard.fr#4,flexdashboard.fr#5,flexdashboard.fr#7,flexdashboard.fr#8,flexdashboard.fr#9,flexdashboard.fr#10,flexdashboard.fr#12,ggplot_basics.fr#1,ggplot_basics.fr#3
fr.untrue.03	fr	untrue	18	chapters/ggplot_tips.fr.qmd,chapters/grouping.fr.qmd,chapters/importing.fr.qmd,chapters/interactive_plots.fr.qmd,chapters/iteration.fr.qmd,chapters/joining_matching.fr.qmd,chapters/missing_data.fr.qmd	ggplot_tips.fr#2,ggplot_tips.fr#3,ggplot_tips.fr#5,grouping.fr#1,grouping.fr#2,grouping.fr#3,grouping.fr#4,importing.fr#3,interactive_plots.fr#2,iteration.fr#1,iteration.fr#2,iteration.fr#5,iteration.fr#6,joining_matching.fr#1,joining_matching.fr#2,joining_matching.fr#3,missing_data.fr#1,missing_data.fr#2
fr.untrue.04	fr	untrue	18	chapters/missing_data.fr.qmd,chapters/network_drives.fr.qmd,chapters/phylogenetic_trees.fr.qmd,chapters/pivoting.fr.qmd,chapters/regression.fr.qmd,chapters/reportfactory.fr.qmd,chapters/rmarkdown.fr.qmd,chapters/shiny_basics.fr.qmd	missing_data.fr#3,missing_data.fr#4,network_drives.fr#1,network_drives.fr#2,network_drives.fr#3,phylogenetic_trees.fr#1,phylogenetic_trees.fr#2,pivoting.fr#2,pivoting.fr#5,regression.fr#1,reportfactory.fr#1,reportfactory.fr#2,rmarkdown.fr#2,rmarkdown.fr#3,rmarkdown.fr#6,rmarkdown.fr#9,shiny_basics.fr#1,shiny_basics.fr#4
fr.untrue.05	fr	untrue	18	chapters/shiny_basics.fr.qmd,chapters/stat_tests.fr.qmd,chapters/survey_analysis.fr.qmd,chapters/survival_analysis.fr.qmd,chapters/tables_descriptive.fr.qmd,chapters/tables_presentation.fr.qmd,chapters/time_series.fr.qmd,chapters/transmission_chains.fr.qmd,chapters/writing_functions.fr.qmd	shiny_basics.fr#5,shiny_basics.fr#6,stat_tests.fr#1,survey_analysis.fr#2,survey_analysis.fr#5,survival_analysis.fr#1,survival_analysis.fr#2,survival_analysis.fr#4,tables_descriptive.fr#5,tables_descriptive.fr#6,tables_descriptive.fr#7,tables_descriptive.fr#8,tables_presentation.fr#1,time_series.fr#1,time_series.fr#6,transmission_chains.fr#4,writing_functions.fr#2,writing_functions.fr#3
fr.missing.01	fr	missing	17	chapters/basics.fr.qmd,chapters/characters_strings.fr.qmd,chapters/collaboration.fr.qmd,chapters/contact_tracing.fr.qmd,chapters/data_table.fr.qmd,chapters/data_used.fr.qmd,chapters/editorial_style.fr.qmd,chapters/epicurves.fr.qmd,chapters/flexdashboard.fr.qmd	basics.fr#2,basics.fr#5,basics.fr#6,characters_strings.fr#1,characters_strings.fr#3,characters_strings.fr#4,characters_strings.fr#5,collaboration.fr#11,contact_tracing.fr#7,data_table.fr#2,data_table.fr#3,data_used.fr#1,data_used.fr#2,editorial_style.fr#1,editorial_style.fr#6,epicurves.fr#1,flexdashboard.fr#6
fr.missing.02	fr	missing	17	chapters/ggplot_basics.fr.qmd,chapters/ggplot_tips.fr.qmd,chapters/grouping.fr.qmd,chapters/heatmaps.fr.qmd,chapters/help.fr.qmd,chapters/importing.fr.qmd,chapters/interactive_plots.fr.qmd,chapters/missing_data.fr.qmd,chapters/pivoting.fr.qmd,chapters/rmarkdown.fr.qmd,chapters/shiny_basics.fr.qmd	ggplot_basics.fr#2,ggplot_tips.fr#7,grouping.fr#5,grouping.fr#6,grouping.fr#7,heatmaps.fr#1,help.fr#1,importing.fr#1,importing.fr#4,importing.fr#5,interactive_plots.fr#1,missing_data.fr#8,pivoting.fr#3,pivoting.fr#6,rmarkdown.fr#1,shiny_basics.fr#2,shiny_basics.fr#3
fr.missing.03	fr	missing	15	chapters/survey_analysis.fr.qmd,chapters/survival_analysis.fr.qmd,chapters/time_series.fr.qmd,chapters/transition_to_r.fr.qmd,chapters/transmission_chains.fr.qmd	survey_analysis.fr#3,survey_analysis.fr#4,survey_analysis.fr#6,survey_analysis.fr#7,survival_analysis.fr#5,time_series.fr#5,time_series.fr#7,time_series.fr#8,time_series.fr#9,time_series.fr#10,transition_to_r.fr#1,transmission_chains.fr#1,transmission_chains.fr#2,transmission_chains.fr#6,transmission_chains.fr#7
fr.code_mismatch.01	fr	code_mismatch	20	chapters/age_pyramid.fr.qmd,chapters/contact_tracing.fr.qmd,chapters/deduplication.fr.qmd,chapters/diagrams.fr.qmd,chapters/directories.fr.qmd,chapters/factors.fr.qmd,chapters/flexdashboard.fr.qmd,chapters/importing.fr.qmd,chapters/iteration.fr.qmd,chapters/packages_suggested.fr.qmd	age_pyramid.fr#1,age_pyramid.fr#2,contact_tracing.fr#2,contact_tracing.fr#3,contact_tracing.fr#4,deduplication.fr#3,diagrams.fr#3,directories.fr#2,factors.fr#3,flexdashboard.fr#2,flexdashboard.fr#11,flexdashboard.fr#13,importing.fr#2,importing.fr#6,iteration.fr#4,iteration.fr#8,iteration.fr#9,iteration.fr#10,iteration.fr#11,packages_suggested.fr#1
fr.code_mismatch.02	fr	code_mismatch	20	chapters/pivoting.fr.qmd,chapters/regression.fr.qmd,chapters/rmarkdown.fr.qmd,chapters/standardization.fr.qmd,chapters/survey_analysis.fr.qmd,chapters/survival_analysis.fr.qmd,chapters/tables_descriptive.fr.qmd,chapters/time_series.fr.qmd,chapters/transmission_chains.fr.qmd,chapters/writing_functions.fr.qmd	pivoting.fr#1,regression.fr#2,regression.fr#3,rmarkdown.fr#7,rmarkdown.fr#8,standardization.fr#1,standardization.fr#3,survey_analysis.fr#1,survival_analysis.fr#3,tables_descriptive.fr#1,tables_descriptive.fr#2,tables_descriptive.fr#3,tables_descriptive.fr#4,time_series.fr#2,time_series.fr#3,transmission_chains.fr#3,transmission_chains.fr#5,writing_functions.fr#1,writing_functions.fr#4,writing_functions.fr#6
fr.added.01	fr	added	19	chapters/basics.fr.qmd,chapters/characters_strings.fr.qmd,chapters/data_used.fr.qmd,chapters/dates.fr.qmd,chapters/editorial_style.fr.qmd,chapters/epicurves.fr.qmd,chapters/factors.fr.qmd,chapters/flexdashboard.fr.qmd,chapters/ggplot_basics.fr.qmd,chapters/ggplot_tips.fr.qmd	basics.fr#7,characters_strings.fr#2,data_used.fr#4,dates.fr#3,dates.fr#4,editorial_style.fr#3,editorial_style.fr#4,editorial_style.fr#5,epicurves.fr#2,epicurves.fr#3,epicurves.fr#4,epicurves.fr#5,epicurves.fr#6,factors.fr#1,factors.fr#2,flexdashboard.fr#1,ggplot_basics.fr#4,ggplot_tips.fr#1,ggplot_tips.fr#4
fr.added.02	fr	added	18	chapters/ggplot_tips.fr.qmd,chapters/grouping.fr.qmd,chapters/iteration.fr.qmd,chapters/missing_data.fr.qmd,chapters/moving_average.fr.qmd,chapters/packages_suggested.fr.qmd,chapters/pivoting.fr.qmd,chapters/rmarkdown.fr.qmd,chapters/standardization.fr.qmd,chapters/tables_presentation.fr.qmd	ggplot_tips.fr#6,grouping.fr#8,grouping.fr#9,grouping.fr#10,iteration.fr#3,iteration.fr#7,missing_data.fr#5,missing_data.fr#6,missing_data.fr#7,moving_average.fr#1,packages_suggested.fr#2,pivoting.fr#4,rmarkdown.fr#4,rmarkdown.fr#5,standardization.fr#2,standardization.fr#4,tables_presentation.fr#2,tables_presentation.fr#3
fr.alignment_mismatch.01	fr	alignment_mismatch	10	chapters/basics.fr.qmd,chapters/cleaning.fr.qmd,chapters/data_table.fr.qmd,chapters/directories.fr.qmd,chapters/network_drives.fr.qmd,chapters/time_series.fr.qmd,chapters/writing_functions.fr.qmd	basics.fr#1,cleaning.fr#4,data_table.fr#1,directories.fr#4,directories.fr#5,directories.fr#6,directories.fr#7,network_drives.fr#4,time_series.fr#4,writing_functions.fr#5
jp.untrue.01	jp	untrue	18	chapters/age_pyramid.jp.qmd,chapters/basics.jp.qmd,chapters/cleaning.jp.qmd,chapters/collaboration.jp.qmd,chapters/combination_analysis.jp.qmd	age_pyramid.jp#1,age_pyramid.jp#3,age_pyramid.jp#4,basics.jp#1,basics.jp#2,basics.jp#5,basics.jp#14,cleaning.jp#3,cleaning.jp#10,cleaning.jp#11,cleaning.jp#13,cleaning.jp#14,collaboration.jp#1,collaboration.jp#2,collaboration.jp#3,collaboration.jp#7,collaboration.jp#8,combination_analysis.jp#1
jp.untrue.02	jp	untrue	18	chapters/combination_analysis.jp.qmd,chapters/contact_tracing.jp.qmd,chapters/data_table.jp.qmd,chapters/data_used.jp.qmd,chapters/dates.jp.qmd,chapters/deduplication.jp.qmd,chapters/diagrams.jp.qmd,chapters/directories.jp.qmd,chapters/editorial_style.jp.qmd,chapters/epicurves.jp.qmd	combination_analysis.jp#3,contact_tracing.jp#1,contact_tracing.jp#2,data_table.jp#4,data_table.jp#5,data_used.jp#1,dates.jp#1,dates.jp#2,dates.jp#3,deduplication.jp#3,deduplication.jp#4,diagrams.jp#5,diagrams.jp#6,directories.jp#1,editorial_style.jp#2,editorial_style.jp#3,editorial_style.jp#4,epicurves.jp#2
jp.untrue.03	jp	untrue	18	chapters/epicurves.jp.qmd,chapters/errors.jp.qmd,chapters/factors.jp.qmd,chapters/flexdashboard.jp.qmd,chapters/ggplot_basics.jp.qmd,chapters/ggplot_tips.jp.qmd,chapters/grouping.jp.qmd	epicurves.jp#3,epicurves.jp#4,epicurves.jp#5,errors.jp#1,errors.jp#2,errors.jp#3,factors.jp#2,factors.jp#3,flexdashboard.jp#1,flexdashboard.jp#2,flexdashboard.jp#8,flexdashboard.jp#9,ggplot_basics.jp#1,ggplot_basics.jp#2,ggplot_basics.jp#3,ggplot_tips.jp#4,ggplot_tips.jp#5,grouping.jp#3
jp.untrue.04	jp	untrue	18	chapters/grouping.jp.qmd,chapters/help.jp.qmd,chapters/importing.jp.qmd,chapters/interactive_plots.jp.qmd,chapters/iteration.jp.qmd,chapters/joining_matching.jp.qmd	grouping.jp#4,grouping.jp#5,help.jp#1,help.jp#3,importing.jp#5,importing.jp#6,importing.jp#7,importing.jp#8,importing.jp#9,interactive_plots.jp#2,iteration.jp#1,iteration.jp#2,iteration.jp#3,iteration.jp#4,iteration.jp#5,joining_matching.jp#2,joining_matching.jp#4,joining_matching.jp#5
jp.untrue.05	jp	untrue	18	chapters/joining_matching.jp.qmd,chapters/missing_data.jp.qmd,chapters/moving_average.jp.qmd,chapters/network_drives.jp.qmd,chapters/pivoting.jp.qmd,chapters/regression.jp.qmd	joining_matching.jp#6,joining_matching.jp#7,joining_matching.jp#8,joining_matching.jp#12,missing_data.jp#1,missing_data.jp#2,missing_data.jp#4,missing_data.jp#5,moving_average.jp#1,moving_average.jp#2,moving_average.jp#3,moving_average.jp#4,moving_average.jp#5,network_drives.jp#1,network_drives.jp#2,pivoting.jp#2,regression.jp#4,regression.jp#5
jp.untrue.06	jp	untrue	18	chapters/reportfactory.jp.qmd,chapters/rmarkdown.jp.qmd,chapters/shiny_basics.jp.qmd,chapters/stat_tests.jp.qmd,chapters/survey_analysis.jp.qmd,chapters/survival_analysis.jp.qmd	reportfactory.jp#2,rmarkdown.jp#4,rmarkdown.jp#6,shiny_basics.jp#1,shiny_basics.jp#2,shiny_basics.jp#5,shiny_basics.jp#8,shiny_basics.jp#9,stat_tests.jp#1,stat_tests.jp#2,stat_tests.jp#3,survey_analysis.jp#1,survey_analysis.jp#2,survey_analysis.jp#3,survey_analysis.jp#4,survey_analysis.jp#5,survival_analysis.jp#1,survival_analysis.jp#4
jp.untrue.07	jp	untrue	15	chapters/tables_descriptive.jp.qmd,chapters/transition_to_r.jp.qmd,chapters/transmission_chains.jp.qmd,chapters/writing_functions.jp.qmd	tables_descriptive.jp#1,tables_descriptive.jp#2,tables_descriptive.jp#3,tables_descriptive.jp#4,tables_descriptive.jp#5,transition_to_r.jp#1,transition_to_r.jp#2,transition_to_r.jp#3,transition_to_r.jp#4,transmission_chains.jp#1,transmission_chains.jp#2,writing_functions.jp#2,writing_functions.jp#3,writing_functions.jp#4,writing_functions.jp#5
jp.missing.01	jp	missing	20	chapters/age_pyramid.jp.qmd,chapters/basics.jp.qmd,chapters/characters_strings.jp.qmd,chapters/cleaning.jp.qmd,chapters/collaboration.jp.qmd,chapters/combination_analysis.jp.qmd,chapters/contact_tracing.jp.qmd,chapters/data_table.jp.qmd,chapters/data_used.jp.qmd,chapters/editorial_style.jp.qmd,chapters/epicurves.jp.qmd	age_pyramid.jp#2,basics.jp#3,basics.jp#6,basics.jp#13,characters_strings.jp#1,cleaning.jp#2,cleaning.jp#4,cleaning.jp#8,cleaning.jp#9,cleaning.jp#12,collaboration.jp#4,collaboration.jp#6,combination_analysis.jp#2,contact_tracing.jp#4,contact_tracing.jp#6,data_table.jp#3,data_used.jp#2,data_used.jp#3,editorial_style.jp#1,epicurves.jp#1
jp.missing.02	jp	missing	20	chapters/epicurves.jp.qmd,chapters/flexdashboard.jp.qmd,chapters/ggplot_basics.jp.qmd,chapters/ggplot_tips.jp.qmd,chapters/heatmaps.jp.qmd,chapters/help.jp.qmd,chapters/importing.jp.qmd,chapters/interactive_plots.jp.qmd,chapters/iteration.jp.qmd,chapters/joining_matching.jp.qmd,chapters/missing_data.jp.qmd	epicurves.jp#6,epicurves.jp#7,flexdashboard.jp#5,flexdashboard.jp#7,ggplot_basics.jp#4,ggplot_tips.jp#3,heatmaps.jp#4,help.jp#2,importing.jp#1,importing.jp#3,importing.jp#4,interactive_plots.jp#1,interactive_plots.jp#4,iteration.jp#6,iteration.jp#7,joining_matching.jp#9,joining_matching.jp#11,missing_data.jp#3,missing_data.jp#6,missing_data.jp#7
jp.missing.03	jp	missing	18	chapters/phylogenetic_trees.jp.qmd,chapters/r_projects.jp.qmd,chapters/regression.jp.qmd,chapters/rmarkdown.jp.qmd,chapters/shiny_basics.jp.qmd,chapters/standardization.jp.qmd,chapters/survival_analysis.jp.qmd,chapters/tables_presentation.jp.qmd,chapters/time_series.jp.qmd,chapters/transition_to_r.jp.qmd,chapters/transmission_chains.jp.qmd	phylogenetic_trees.jp#1,r_projects.jp#1,regression.jp#6,rmarkdown.jp#1,rmarkdown.jp#5,shiny_basics.jp#3,standardization.jp#3,survival_analysis.jp#3,survival_analysis.jp#5,survival_analysis.jp#6,tables_presentation.jp#1,tables_presentation.jp#2,tables_presentation.jp#3,tables_presentation.jp#4,time_series.jp#2,transition_to_r.jp#5,transition_to_r.jp#6,transmission_chains.jp#3
jp.code_mismatch.01	jp	code_mismatch	18	chapters/basics.jp.qmd,chapters/cleaning.jp.qmd,chapters/contact_tracing.jp.qmd,chapters/data_table.jp.qmd,chapters/diagrams.jp.qmd,chapters/ggplot_basics.jp.qmd,chapters/ggplot_tips.jp.qmd,chapters/grouping.jp.qmd,chapters/heatmaps.jp.qmd,chapters/importing.jp.qmd,chapters/interactive_plots.jp.qmd	basics.jp#7,cleaning.jp#1,cleaning.jp#5,cleaning.jp#6,cleaning.jp#7,contact_tracing.jp#3,data_table.jp#1,diagrams.jp#1,diagrams.jp#4,diagrams.jp#7,diagrams.jp#8,ggplot_basics.jp#5,ggplot_tips.jp#1,ggplot_tips.jp#2,grouping.jp#1,heatmaps.jp#1,importing.jp#2,interactive_plots.jp#3
jp.code_mismatch.02	jp	code_mismatch	17	chapters/interactive_plots.jp.qmd,chapters/joining_matching.jp.qmd,chapters/moving_average.jp.qmd,chapters/pivoting.jp.qmd,chapters/regression.jp.qmd,chapters/reportfactory.jp.qmd,chapters/rmarkdown.jp.qmd,chapters/standardization.jp.qmd,chapters/survival_analysis.jp.qmd,chapters/tables_presentation.jp.qmd,chapters/time_series.jp.qmd,chapters/writing_functions.jp.qmd	interactive_plots.jp#5,joining_matching.jp#1,joining_matching.jp#3,joining_matching.jp#10,moving_average.jp#6,pivoting.jp#1,regression.jp#2,regression.jp#3,reportfactory.jp#1,reportfactory.jp#7,rmarkdown.jp#2,rmarkdown.jp#3,standardization.jp#1,survival_analysis.jp#2,tables_presentation.jp#5,time_series.jp#1,writing_functions.jp#1
jp.added.01	jp	added	17	chapters/age_pyramid.jp.qmd,chapters/basics.jp.qmd,chapters/cleaning.jp.qmd,chapters/collaboration.jp.qmd,chapters/contact_tracing.jp.qmd,chapters/data_table.jp.qmd,chapters/data_used.jp.qmd,chapters/deduplication.jp.qmd	age_pyramid.jp#5,basics.jp#4,basics.jp#8,basics.jp#9,basics.jp#10,basics.jp#11,basics.jp#12,cleaning.jp#15,collaboration.jp#5,contact_tracing.jp#5,contact_tracing.jp#7,contact_tracing.jp#8,contact_tracing.jp#9,data_table.jp#2,data_used.jp#4,data_used.jp#5,deduplication.jp#1
jp.added.02	jp	added	17	chapters/deduplication.jp.qmd,chapters/diagrams.jp.qmd,chapters/errors.jp.qmd,chapters/flexdashboard.jp.qmd,chapters/grouping.jp.qmd,chapters/heatmaps.jp.qmd,chapters/joining_matching.jp.qmd,chapters/network_drives.jp.qmd,chapters/packages_suggested.jp.qmd,chapters/r_projects.jp.qmd,chapters/regression.jp.qmd,chapters/reportfactory.jp.qmd	deduplication.jp#2,diagrams.jp#2,diagrams.jp#3,errors.jp#4,flexdashboard.jp#3,flexdashboard.jp#4,flexdashboard.jp#6,grouping.jp#2,heatmaps.jp#2,heatmaps.jp#3,joining_matching.jp#13,network_drives.jp#3,packages_suggested.jp#1,r_projects.jp#2,regression.jp#1,reportfactory.jp#3,reportfactory.jp#4
jp.added.03	jp	added	17	chapters/reportfactory.jp.qmd,chapters/shiny_basics.jp.qmd,chapters/standardization.jp.qmd,chapters/survey_analysis.jp.qmd,chapters/survival_analysis.jp.qmd,chapters/tables_descriptive.jp.qmd,chapters/tables_presentation.jp.qmd,chapters/transition_to_r.jp.qmd,chapters/writing_functions.jp.qmd	reportfactory.jp#5,reportfactory.jp#6,reportfactory.jp#8,reportfactory.jp#9,shiny_basics.jp#4,shiny_basics.jp#6,shiny_basics.jp#7,standardization.jp#2,survey_analysis.jp#6,survey_analysis.jp#7,survey_analysis.jp#8,survey_analysis.jp#9,survival_analysis.jp#7,tables_descriptive.jp#6,tables_presentation.jp#6,transition_to_r.jp#7,writing_functions.jp#6
jp.alignment_mismatch.01	jp	alignment_mismatch	3	chapters/factors.jp.qmd,chapters/stat_tests.jp.qmd	factors.jp#1,stat_tests.jp#4,stat_tests.jp#5
pt.untrue.01	pt	untrue	19	chapters/age_pyramid.pt.qmd,chapters/basics.pt.qmd,chapters/collaboration.pt.qmd,chapters/combination_analysis.pt.qmd,chapters/contact_tracing.pt.qmd,chapters/data_used.pt.qmd,chapters/dates.pt.qmd,chapters/diagrams.pt.qmd	age_pyramid.pt#1,age_pyramid.pt#4,basics.pt#5,basics.pt#6,basics.pt#7,collaboration.pt#3,collaboration.pt#5,collaboration.pt#6,collaboration.pt#7,combination_analysis.pt#1,contact_tracing.pt#1,data_used.pt#7,dates.pt#1,dates.pt#2,dates.pt#3,dates.pt#4,dates.pt#5,dates.pt#6,diagrams.pt#1
pt.untrue.02	pt	untrue	19	chapters/diagrams.pt.qmd,chapters/epicurves.pt.qmd,chapters/factors.pt.qmd,chapters/flexdashboard.pt.qmd,chapters/ggplot_basics.pt.qmd,chapters/ggplot_tips.pt.qmd,chapters/heatmaps.pt.qmd,chapters/help.pt.qmd,chapters/importing.pt.qmd,chapters/interactive_plots.pt.qmd	diagrams.pt#3,diagrams.pt#4,epicurves.pt#1,epicurves.pt#6,factors.pt#1,factors.pt#2,flexdashboard.pt#1,flexdashboard.pt#2,flexdashboard.pt#3,flexdashboard.pt#4,flexdashboard.pt#5,flexdashboard.pt#6,ggplot_basics.pt#4,ggplot_tips.pt#4,ggplot_tips.pt#5,heatmaps.pt#1,help.pt#3,importing.pt#6,interactive_plots.pt#2
